********************************************************
****           Py_SHS: An open source software      ****
****         about Second Harmonic Scattering       ****
**** Dr Pierre-Marie GASSIN and Dr Gaelle GASSIN    ****
****                  ICGM - ENSCM                  ****
****                   september 2023               ****
********************************************************
                                                        
           Don't forget to cite this work:              
    J. Chem. Inf. Model. 2020, 60, 12, pp 5912–5917     
                                                        
********************************************************
********************************************************
*********       SIMULATION RESULTS        **************
********************************************************
                                      
* SHS angular distribution            
                                      
*********          Hyperpolarizability Tensor      ***********

    xxx=0.000000   xxy=0.000000   xxz= 0.000000            
    xyx=0.000000   xyy=0.000000   xyz= 0.000000  
    xzx=0.000000   xzy=0.000000   xzz= 0.000000  

    yxx=0.000000   yxy=0.000000   yxz= 0.000000  
    yyx=0.000000   yyy=0.000000   yyz= 0.000000  
    yzx=0.000000   yzy=0.000000   yzz= 0.000000  

    zxx=0.000000   zxy=0.000000   zxz= 0.000000  
    zyx=0.000000   zyy=0.000000   zyz= 0.000000  
    zzx=0.000000   zzy=0.000000   zzz= 1.000000  

 grandtheta  IPSS-IH(0°)   IPPP-IH(90°)   ISSS-IV(0°)   ISPP-IV(90°) 
 -3.141593    2.255910   11.279548   11.279548   2.255910 
 -3.106686    2.255910   11.268557   11.279548   2.255910 
 -3.071779    2.255910   11.235639   11.279548   2.255910 
 -3.036873    2.255910   11.180954   11.279548   2.255910 
 -3.001966    2.255910   11.104768   11.279548   2.255910 
 -2.967060    2.255910   11.007452   11.279548   2.255910 
 -2.932153    2.255910   10.889481   11.279548   2.255910 
 -2.897247    2.255910   10.751429   11.279548   2.255910 
 -2.862340    2.255910   10.593968   11.279548   2.255910 
 -2.827433    2.255910   10.417867   11.279548   2.255910 
 -2.792527    2.255910   10.223983   11.279548   2.255910 
 -2.757620    2.255910   10.013260   11.279548   2.255910 
 -2.722714    2.255910   9.786725   11.279548   2.255910 
 -2.687807    2.255910   9.545482   11.279548   2.255910 
 -2.652900    2.255910   9.290706   11.279548   2.255910 
 -2.617994    2.255910   9.023638   11.279548   2.255910 
 -2.583087    2.255910   8.745580   11.279548   2.255910 
 -2.548181    2.255910   8.457886   11.279548   2.255910 
 -2.513274    2.255910   8.161958   11.279548   2.255910 
 -2.478368    2.255910   7.859237   11.279548   2.255910 
 -2.443461    2.255910   7.551198   11.279548   2.255910 
 -2.408554    2.255910   7.239342   11.279548   2.255910 
 -2.373648    2.255910   6.925189   11.279548   2.255910 
 -2.338741    2.255910   6.610269   11.279548   2.255910 
 -2.303835    2.255910   6.296115   11.279548   2.255910 
 -2.268928    2.255910   5.984260   11.279548   2.255910 
 -2.234021    2.255910   5.676221   11.279548   2.255910 
 -2.199115    2.255910   5.373500   11.279548   2.255910 
 -2.164208    2.255910   5.077572   11.279548   2.255910 
 -2.129302    2.255910   4.789878   11.279548   2.255910 
 -2.094395    2.255910   4.511819   11.279548   2.255910 
 -2.059489    2.255910   4.244752   11.279548   2.255910 
 -2.024582    2.255910   3.989976   11.279548   2.255910 
 -1.989675    2.255910   3.748733   11.279548   2.255910 
 -1.954769    2.255910   3.522198   11.279548   2.255910 
 -1.919862    2.255910   3.311475   11.279548   2.255910 
 -1.884956    2.255910   3.117590   11.279548   2.255910 
 -1.850049    2.255910   2.941489   11.279548   2.255910 
 -1.815142    2.255910   2.784029   11.279548   2.255910 
 -1.780236    2.255910   2.645977   11.279548   2.255910 
 -1.745329    2.255910   2.528006   11.279548   2.255910 
 -1.710423    2.255910   2.430690   11.279548   2.255910 
 -1.675516    2.255910   2.354504   11.279548   2.255910 
 -1.640609    2.255910   2.299818   11.279548   2.255910 
