********************************************************
****           Py_SHS: An open source software      ****
****         about Second Harmonic Scattering       ****
**** Dr Pierre-Marie GASSIN and Dr Gaelle GASSIN    ****
****                  ICGM - ENSCM                  ****
****                   june 2021                    ****
********************************************************
                                                        
           Don't forget to cite this work:              
    J. Chem. Inf. Model. 2020, 60, 12, pp 5912–5917     
                                                        
********************************************************
********************************************************
******          SIMULATION RESULTS               *******
********************************************************
******     SURFACE HYPERPOLARISABILITY TENSOR     ******

    xxx=0.000000   xxy=0.000000   xxz= 0.000000            
    xyx=0.000000   xyy=0.000000   xyz= 0.000000  
    xzx=0.000000   xzy=0.000000   xzz= 0.000000  

    yxx=0.000000   yxy=0.000000   yxz= 0.000000  
    yyx=0.000000   yyy=0.000000   yyz= 0.000000  
    yzx=0.000000   yzy=0.000000   yzz= 0.000000  

    zxx=0.000000   zxy=0.000000   zxz= 0.000000  
    zyx=0.000000   zyy=0.000000   zyz= 0.000000  
    zzx=0.000000   zzy=0.000000   zzz= 1.000000  

*******************************************************
                                      
* SHS angular distribution            
                                      
nombre de dipole = 2  
 ****************OUTPUT****************************************
 grandtheta  IPSS-IH(0°)   IPPP-IH(90°)   ISSS-IV(0°)   ISPP-IV(90°) 
 -180.000000    3.794352   17.199658   17.199658   3.794352 
 -178.000000    3.794833   17.180552   17.197813   3.794936 
 -176.000000    3.796274   17.123333   17.192277   3.796685 
 -174.000000    3.798671   17.028306   17.183048   3.799592 
 -172.000000    3.802019   16.895974   17.170124   3.803642 
 -170.000000    3.806308   16.727039   17.153499   3.808818 
 -168.000000    3.811527   16.522399   17.133169   3.815095 
 -166.000000    3.817661   16.283144   17.109127   3.822445 
 -164.000000    3.824694   16.010551   17.081365   3.830832 
 -162.000000    3.832606   15.706079   17.049876   3.840219 
 -160.000000    3.841373   15.371363   17.014651   3.850562 
 -158.000000    3.850971   15.008206   16.975680   3.861811 
 -156.000000    3.861368   14.618576   16.932954   3.873914 
 -154.000000    3.872535   14.204594   16.886462   3.886813 
 -152.000000    3.884433   13.768527   16.836194   3.900447 
 -150.000000    3.897024   13.312780   16.782142   3.914751 
 -148.000000    3.910264   12.839884   16.724295   3.929655 
 -146.000000    3.924107   12.352492   16.662644   3.945087 
 -144.000000    3.938501   11.853361   16.597183   3.960969 
 -142.000000    3.953392   11.345348   16.527905   3.977224 
 -140.000000    3.968719   10.831392   16.454805   3.993768 
 -138.000000    3.984420   10.314509   16.377879   4.010516 
 -136.000000    4.000427   9.797772   16.297129   4.027382 
 -134.000000    4.016669   9.284302   16.212554   4.044275 
 -132.000000    4.033068   8.777251   16.124161   4.061104 
 -130.000000    4.049544   8.279790   16.031956   4.077777 
 -128.000000    4.066014   7.795084   15.935953   4.094197 
 -126.000000    4.082388   7.326286   15.836165   4.110269 
 -124.000000    4.098573   6.876504   15.732614   4.125896 
 -122.000000    4.114473   6.448794   15.625323   4.140981 
 -120.000000    4.129988   6.046127   15.514325   4.155425 
 -118.000000    4.145015   5.671372   15.399653   4.169130 
 -116.000000    4.159448   5.327269   15.281351   4.181998 
 -114.000000    4.173177   5.016400   15.159466   4.193931 
 -112.000000    4.186093   4.741170   15.034053   4.204833 
 -110.000000    4.198083   4.503769   14.905176   4.214607 
 -108.000000    4.209033   4.306149   14.772903   4.223160 
 -106.000000    4.218830   4.149992   14.637313   4.230398 
 -104.000000    4.227359   4.036683   14.498493   4.236232 
 -102.000000    4.234508   3.967279   14.356537   4.240573 
 -100.000000    4.240166   3.942480   14.211551   4.243337 
