********************************************************
****           Py_SHS: An open source software      ****
****         about Second Harmonic Scattering       ****
**** Dr Pierre-Marie GASSIN and Dr Gaelle GASSIN    ****
****                  ICGM - ENSCM                  ****
****                   june 2021                    ****
********************************************************
                                                        
           Don't forget to cite this work:              
    J. Chem. Inf. Model. 2020, 60, 12, pp 5912–5917     
                                                        
********************************************************
********************************************************
******          SIMULATION RESULTS               *******
********************************************************
******     SURFACE HYPERPOLARISABILITY TENSOR     ******

    xxx=0.000000   xxy=0.000000   xxz= 0.000000            
    xyx=0.000000   xyy=0.000000   xyz= 0.000000  
    xzx=0.000000   xzy=0.000000   xzz= 0.000000  

    yxx=0.000000   yxy=0.000000   yxz= 0.000000  
    yyx=0.000000   yyy=0.000000   yyz= 0.000000  
    yzx=0.000000   yzy=0.000000   yzz= 0.000000  

    zxx=0.000000   zxy=0.000000   zxz= 0.000000  
    zyx=0.000000   zyy=0.000000   zyz= 0.000000  
    zzx=0.000000   zzy=0.000000   zzz= 1.000000  

*******************************************************
                                      
* SHS angular distribution            
                                      
nombre de dipole = 100  
 ****************OUTPUT****************************************
 grandtheta  IPSS-IH(0°)   IPPP-IH(90°)   ISSS-IV(0°)   ISPP-IV(90°) 
 -180.000000    67.835195   183.554914   183.554914   67.835195 
 -178.000000    69.883776   185.448159   183.545851   67.839898 
 -176.000000    76.025255   191.072826   183.518645   67.853975 
 -174.000000    86.246822   200.264851   183.473243   67.877333 
 -172.000000    100.527059   212.754566   183.409554   67.909815 
 -170.000000    118.835833   228.172321   183.327454   67.951203 
 -168.000000    141.134157   246.056296   183.226784   68.001220 
 -166.000000    167.374005   265.862418   183.107353   68.059530 
 -164.000000    197.498105   286.976300   182.968934   68.125740 
 -162.000000    231.439685   308.727086   182.811272   68.199404 
 -160.000000    269.122203   330.403060   182.634079   68.280021 
 -158.000000    310.459050   351.268854   182.437042   68.367044 
 -156.000000    355.353237   370.584049   182.219819   68.459878 
 -154.000000    403.697062   387.622956   181.982045   68.557887 
 -152.000000    455.371781   401.695308   181.723330   68.660394 
 -150.000000    510.247274   412.167574   181.443268   68.766686 
 -148.000000    568.181713   418.484579   181.141433   68.876021 
 -146.000000    629.021259   420.191061   180.817384   68.987627 
 -144.000000    692.599764   416.952788   180.470670   69.100709 
 -142.000000    758.738523   408.576825   180.100830   69.214455 
 -140.000000    827.246051   395.030500   179.707401   69.328035 
 -138.000000    897.917920   376.458614   179.289914   69.440613 
 -136.000000    970.536650   353.198434   178.847906   69.551344 
 -134.000000    1044.871671   325.791973   178.380918   69.659383 
 -132.000000    1120.679361   294.995091   177.888503   69.763889 
 -130.000000    1197.703177   261.782951   177.370226   69.864030 
 -128.000000    1275.673876   227.351389   176.825674   69.958983 
 -126.000000    1354.309850   193.113800   176.254455   70.047944 
 -124.000000    1433.317569   160.693170   175.656207   70.130130 
 -122.000000    1512.392159   131.908983   175.030598   70.204782 
 -120.000000    1591.218097   108.758776   174.377338   70.271171 
 -118.000000    1669.470055   93.394221   173.696175   70.328599 
 -116.000000    1746.813884   88.091718   172.986909   70.376405 
 -114.000000    1822.907749   95.217597   172.249388   70.413968 
 -112.000000    1897.403406   117.188155   171.483522   70.440709 
 -110.000000    1969.947649   156.424891   170.689280   70.456096 
 -108.000000    2040.183894   215.305455   169.866701   70.459644 
 -106.000000    2107.753925   296.110953   169.015895   70.450920 
 -104.000000    2172.299786   400.970420   168.137050   70.429544 
 -102.000000    2233.465811   531.803404   167.230433   70.395192 
 -100.000000    2290.900798   690.261735   166.296400   70.347595 
 -98.000000    2344.260294   877.671692   165.335396   70.286546 
 -96.000000    2393.209006   1094.977869   164.347960   70.211896 
 -94.000000    2437.423301   1342.690117   163.334728   70.123558 
 -92.000000    2476.593784   1620.835031   162.296439   70.021506 
 -90.000000    2510.427946   1928.913423   161.233935   69.905777 
 -88.000000    2538.652840   2265.865252   160.148165   69.776472 
 -86.000000    2561.017781   2630.043413   159.040186   69.633755 
 -84.000000    2577.297026   3019.197699   157.911168   69.477852 
 -82.000000    2587.292425   3430.470118   156.762392   69.309051 
 -80.000000    2590.835997   3860.402580   155.595251   69.127705 
 -78.000000    2587.792410   4304.957731   154.411252   68.934225 
 -76.000000    2578.061334   4759.553490   153.212015   68.729085 
 -74.000000    2561.579624   5219.111511   151.999271   68.512815 
 -72.000000    2538.323321   5678.119512   150.774862   68.286004 
 -70.000000    2508.309416   6130.707040   149.540738   68.049297 
 -68.000000    2471.597362   6570.733899   148.298954   67.803389 
 -66.000000    2428.290296   6991.890085   147.051665   67.549028 
 -64.000000    2378.535948   7387.805719   145.801125   67.287012 
 -62.000000    2322.527204   7752.169125   144.549680   67.018181 
 -60.000000    2260.502301   8078.850850   143.299761   66.743418 
 -58.000000    2192.744639   8362.031165   142.053882   66.463647 
 -56.000000    2119.582185   8596.328325   140.814626   66.179824 
 -54.000000    2041.386460   8776.924685   139.584644   65.892939 
 -52.000000    1958.571097   8899.687654   138.366642   65.604008 
 -50.000000    1871.589976   8961.282415   137.163375   65.314069 
 -48.000000    1780.934916   8959.273396   135.977633   65.024180 
 -46.000000    1687.132958   8892.211562   134.812237   64.735412 
 -44.000000    1590.743224   8759.704837   133.670022   64.448846 
 -42.000000    1492.353389   8562.469223   132.553829   64.165564 
 -40.000000    1392.575776   8302.358570   131.466491   63.886652 
 -38.000000    1292.043114   7982.371385   130.410825   63.613185 
 -36.000000    1191.403979   7606.633567   129.389615   63.346229 
 -34.000000    1091.317968   7180.356518   128.405603   63.086833 
 -32.000000    992.450641   6709.770684   127.461473   62.836025 
 -30.000000    895.468286   6202.035174   126.559841   62.594806 
 -28.000000    801.032551   5665.124759   125.703242   62.364144 
 -26.000000    709.795001   5107.696140   124.894116   62.144973 
 -24.000000    622.391659   4538.935976   124.134796   61.938183 
 -22.000000    539.437578   3968.393675   123.427498   61.744619 
 -20.000000    461.521520   3405.802442   122.774308   61.565076 
 -18.000000    389.200789   2860.892434   122.177170   61.400296 
 -16.000000    322.996278   2343.200204   121.637878   61.250959 
 -14.000000    263.387793   1861.878753   121.158063   61.117685 
 -12.000000    210.809701   1425.512615   120.739189   61.001032 
 -10.000000    165.646959   1041.942351   120.382539   60.901485 
 -8.000000    128.231570   718.102639   120.089213   60.819461 
 -6.000000    98.839507   459.877884   119.860120   60.755304 
 -4.000000    77.688141   271.978887   119.695969   60.709284 
 -2.000000    64.934210   157.843584   119.597274   60.681595 
 0.000000    60.672352   119.564341   119.564341   60.672352 
