********************************************************
****           Py_SHS: An open source software      ****
****         about Second Harmonic Scattering       ****
**** Dr Pierre-Marie GASSIN and Dr Gaelle GASSIN    ****
****                  ICGM - ENSCM                  ****
****                   june 2021                    ****
********************************************************
                                                        
           Don't forget to cite this work:              
    J. Chem. Inf. Model. 2020, 60, 12, pp 5912–5917     
                                                        
********************************************************
********************************************************
******          SIMULATION RESULTS               *******
********************************************************
******     SURFACE HYPERPOLARISABILITY TENSOR     ******

    xxx=0.000000   xxy=0.000000   xxz= 0.000000            
    xyx=0.000000   xyy=0.000000   xyz= 0.000000  
    xzx=0.000000   xzy=0.000000   xzz= 0.000000  

    yxx=0.000000   yxy=0.000000   yxz= 0.000000  
    yyx=0.000000   yyy=0.000000   yyz= 0.000000  
    yzx=0.000000   yzy=0.000000   yzz= 0.000000  

    zxx=0.000000   zxy=0.000000   zxz= 0.000000  
    zyx=0.000000   zyy=0.000000   zyz= 0.000000  
    zzx=0.000000   zzy=0.000000   zzz= 1.000000  

*******************************************************
                                      
* SHS angular distribution            
                                      
nombre de dipole = 100  
 ****************OUTPUT****************************************
 grandtheta  IPSS-IH(0°)   IPPP-IH(90°)   ISSS-IV(0°)   ISPP-IV(90°) 
 -180.000000    77.821180   263.885836   263.885836   77.821180 
 -178.000000    79.789616   265.629552   263.877206   77.837935 
 -176.000000    85.690983   270.807794   263.851318   77.888197 
 -174.000000    95.513443   279.262945   263.808189   77.971966 
 -172.000000    109.237189   290.735990   263.747840   78.089235 
 -170.000000    126.834345   304.872001   263.670307   78.239990 
 -168.000000    148.268815   321.227742   263.575634   78.424206 
 -166.000000    173.496098   339.281337   263.463874   78.641842 
 -164.000000    202.463063   358.443906   263.335097   78.892832 
 -162.000000    235.107700   378.073047   263.189380   79.177076 
 -160.000000    271.358827   397.488036   263.026816   79.494436 
 -158.000000    311.135790   415.986569   262.847512   79.844720 
 -156.000000    354.348123   432.862868   262.651590   80.227675 
 -154.000000    400.895213   447.426906   262.439187   80.642974 
 -152.000000    450.665940   459.024515   262.210458   81.090204 
 -150.000000    503.538327   467.058085   261.965577   81.568853 
 -148.000000    559.379183   471.007536   261.704737   82.078298 
 -146.000000    618.043771   470.451216   261.428149   82.617791 
 -144.000000    679.375487   465.086346   261.136048   83.186442 
 -142.000000    743.205569   454.748611   260.828689   83.783214 
 -140.000000    809.352851   439.430466   260.506353   84.406902 
 -138.000000    877.623551   419.297711   260.169342   85.056125 
 -136.000000    947.811127   394.703870   259.817985   85.729315 
 -134.000000    1019.696191   366.201922   259.452633   86.424703 
 -132.000000    1093.046504   334.552905   259.073667   87.140310 
 -130.000000    1167.617050   300.730957   258.681491   87.873945 
 -128.000000    1243.150210   265.924358   258.276538   88.623187 
 -126.000000    1319.376039   231.532193   257.859264   89.385394 
 -124.000000    1396.012652   199.156286   257.430158   90.157687 
 -122.000000    1472.766736   170.588136   256.989729   90.936961 
 -120.000000    1549.334192   147.790638   256.538517   91.719877 
