********************************************************
****           Py_SHS: An open source software      ****
****         about Second Harmonic Scattering       ****
**** Dr Pierre-Marie GASSIN and Dr Gaelle GASSIN    ****
****                  ICGM - ENSCM                  ****
****                   june 2021                    ****
********************************************************
                                                        
           Don't forget to cite this work:              
    J. Chem. Inf. Model. 2020, 60, 12, pp 5912–5917     
                                                        
********************************************************
********************************************************
******          SIMULATION RESULTS               *******
********************************************************
******     SURFACE HYPERPOLARISABILITY TENSOR     ******

    xxx=0.000000   xxy=0.000000   xxz= 0.000000            
    xyx=0.000000   xyy=0.000000   xyz= 0.000000  
    xzx=0.000000   xzy=0.000000   xzz= 0.000000  

    yxx=0.000000   yxy=0.000000   yxz= 0.000000  
    yyx=0.000000   yyy=0.000000   yyz= 0.000000  
    yzx=0.000000   yzy=0.000000   yzz= 0.000000  

    zxx=0.000000   zxy=0.000000   zxz= 0.000000  
    zyx=0.000000   zyy=0.000000   zyz= 0.000000  
    zzx=0.000000   zzy=0.000000   zzz= 1.000000  

*******************************************************
                                      
* SHS angular distribution            
                                      
nombre de dipole = 100  
 ****************OUTPUT****************************************
 grandtheta  IPSS-IH(0°)   IPPP-IH(90°)   ISSS-IV(0°)   ISPP-IV(90°) 
 -180.000000    103.474518   312.796353   312.796353   103.474518 
 -178.000000    105.444883   314.500111   312.787820   103.468795 
 -176.000000    111.352026   319.558660   312.762199   103.451637 
 -174.000000    121.184071   327.814931   312.719416   103.423080 
 -172.000000    134.921152   339.010805   312.659351   103.383181 
 -170.000000    152.535311   352.792577   312.581836   103.332022 
 -168.000000    173.990347   368.718535   312.486655   103.269711 
 -166.000000    199.241637   386.268594   312.373549   103.196386 
 -164.000000    228.235914   404.855878   312.242209   103.112211 
 -162.000000    260.911014   423.840161   312.092287   103.017383 
 -160.000000    297.195597   442.543007   311.923388   102.912135 
 -158.000000    337.008837   460.264448   311.735081   102.796735 
 -156.000000    380.260101   476.301028   311.526892   102.671493 
 -154.000000    426.848607   489.964955   311.298311   102.536763 
 -152.000000    476.663074   500.604145   311.048796   102.392945 
 -150.000000    529.581374   507.622845   310.777771   102.240489 
 -148.000000    585.470184   510.502542   310.484631   102.079903 
 -146.000000    644.184657   508.822797   310.168748   101.911749 
 -144.000000    705.568105   502.281633   309.829468   101.736652 
 -142.000000    769.451723   490.715073   309.466121   101.555304 
 -140.000000    835.654338   474.115412   309.078024   101.368462 
 -138.000000    903.982214   452.647759   308.664481   101.176960 
 -136.000000    974.228912   426.664409   308.224794   100.981703 
 -134.000000    1046.175211   396.716567   307.758263   100.783678 
 -132.000000    1119.589113   363.562976   307.264192   100.583950 
 -130.000000    1194.225924   328.174987   306.741898   100.383671 
 -128.000000    1269.828439   291.737663   306.190712   100.184074 
 -126.000000    1346.127221   255.646507   305.609990   99.986482 
 -124.000000    1422.841004   221.499492   304.999111   99.792305 
 -122.000000    1499.677206   191.084101   304.357495   99.603040 
 -120.000000    1576.332580   166.359181   303.684598   99.420274 
 -118.000000    1652.493994   149.431490   302.979925   99.245677 
 -116.000000    1727.839358   142.526923   302.243037   99.081007 
 -114.000000    1802.038692   147.956526   301.473553   98.928103 
 -112.000000    1874.755350   168.077505   300.671161   98.788880 
 -110.000000    1945.647390   205
